Time,LLC,Speed,Ranking,Mileage,Address
2016-07-01 13:09:40,"-26.232030,28.046870",0,11,19556.4782,
2016-07-01 13:09:49,"-26.232054,28.046844",0,11,19560.2001,
2016-07-01 13:10:00,"-26.232058,28.046842",0,11,19560.6842,
2016-07-01 13:10:09,"-26.232064,28.046836",0,11,19561.5798,
2016-07-01 13:10:19,"-26.232084,28.046834",0,11,19563.8123,
2016-07-01 13:10:30,"-26.232108,28.046838",0,11,19566.5109,
2016-07-01 13:10:51,"-26.232144,28.046812",0,11,19571.2804,
2016-07-01 13:11:02,"-26.232152,28.046810",0,11,19572.191,
2016-07-01 13:11:13,"-26.232150,28.046802",0,11,19573.0186,
2016-07-01 13:11:19,"-26.232156,28.046794",0,11,19574.0586,
2016-07-01 13:11:29,"-26.232176,28.046816",0,11,19577.1828,
2016-07-01 13:11:40,"-26.232168,28.046830",0,11,19578.8381,
2016-07-01 13:13:39,"-26.232196,28.046746",0,11,19587.7761,
2016-07-01 13:13:50,"-26.232192,28.046770",0,11,19590.2113,
2016-07-01 13:14:01,"-26.232174,28.046786",0,11,19592.771,
2016-07-01 13:14:12,"-26.232160,28.046792",0,11,19594.4371,
2016-07-01 13:14:19,"-26.232160,28.046816",0,11,19596.8332,
2016-07-01 13:14:30,"-26.232148,28.046784",0,11,19600.2941,
2016-07-01 13:21:23,"-26.231992,28.046846",0,11,19618.7098,
2016-07-01 13:21:29,"-26.231994,28.046858",0,11,19619.9293,
2016-07-01 13:21:40,"-26.232004,28.046874",0,11,19621.8749,
2016-07-01 13:21:49,"-26.232006,28.046890",0,11,19623.486,
2016-07-01 13:22:00,"-26.232008,28.046896",0,11,19624.1228,
2016-07-01 13:22:11,"-26.232010,28.046900",0,11,19624.5781,
2016-07-01 13:22:19,"-26.232014,28.046906",0,11,19625.3196,
2016-07-01 13:22:29,"-26.231996,28.046888",0,11,19628.0081,
2016-07-01 13:22:40,"-26.231978,28.046876",0,11,19630.3413,
2016-07-01 13:22:51,"-26.231964,28.046876",0,11,19631.8984,
2016-07-01 13:23:02,"-26.231978,28.046878",0,11,19633.467,
2016-07-01 13:23:13,"-26.231986,28.046884",0,11,19634.5326,
2016-07-01 13:23:19,"-26.231988,28.046894",0,11,19635.5507,
2016-07-01 13:23:30,"-26.231998,28.046898",0,11,19636.7364,
2016-07-01 13:23:41,"-26.231998,28.046896",0,11,19636.7364,
2016-07-01 13:43:17,"-26.231976,28.046876",0,12,19639.8936,
2016-07-01 13:43:19,"-26.231992,28.046876",0,12,19641.6747,
2016-07-01 13:43:30,"-26.232018,28.046882",0,13,19644.6269,
2016-07-01 13:43:39,"-26.232028,28.046870",0,13,19646.2602,
2016-07-01 13:43:50,"-26.232032,28.046860",0,13,19647.3468,
2016-07-01 13:44:01,"-26.232038,28.046866",0,13,19648.2374,
2016-07-01 13:44:12,"-26.232024,28.046846",0,13,19650.7688,
2016-07-01 13:44:20,"-26.232022,28.046850",0,13,19651.2339,
2016-07-01 13:44:29,"-26.232018,28.046850",0,13,19651.6792,
2016-07-01 13:44:40,"-26.232006,28.046846",0,13,19653.0745,
2016-07-01 14:26:11,"-26.235287,28.044739",0,2,20074.105,
2016-07-01 14:26:19,"-26.232048,28.046876",0,12,20492.6112,
2016-07-01 14:26:30,"-26.232032,28.046844",0,12,20496.2659,
2016-07-01 14:26:41,"-26.232022,28.046818",0,12,20499.0853,
2016-07-01 14:26:52,"-26.232016,28.046816",0,12,20499.7764,
2016-07-01 14:27:03,"-26.232026,28.046840",0,12,20502.4159,
2016-07-01 14:27:14,"-26.232038,28.046862",0,12,20504.9827,
2016-07-01 14:27:19,"-26.232052,28.046860",0,12,20506.5513,
