Time,LLC,Speed,Ranking,Mileage,Address
4/7/2016 07:09,"-26.329410,28.086330",0,10,2.9184,
4/7/2016 07:10,"-26.329416,28.086332",0,10,3.6095,
4/7/2016 07:10,"-26.329396,28.086328",0,10,5.8701,
4/7/2016 07:23,"-26.317022,28.063040",55.56,7,2704.0501,
4/7/2016 07:23,"-26.316102,28.062394",0,8,2824.9254,
4/7/2016 07:23,"-26.316098,28.062400",0,8,2825.6729,
4/7/2016 07:23,"-26.316098,28.062400",0,8,2825.6729,
4/7/2016 07:23,"-26.316100,28.062402",0,8,2825.6729,
4/7/2016 07:24,"-26.316098,28.062402",0,8,2825.6729,
4/7/2016 07:24,"-26.315840,28.062228",29.632,8,2859.1959,
4/7/2016 07:24,"-26.314854,28.061544",57.412,8,2988.302,
4/7/2016 07:24,"-26.313410,28.060544",74.08,8,3177.2884,
4/7/2016 07:24,"-26.311810,28.059428",77.784,8,3387.1123,
4/7/2016 07:24,"-26.310062,28.058074",87.044,9,3623.7417,
4/7/2016 07:25,"-26.308328,28.056604",87.044,9,3865.911,
4/7/2016 07:25,"-26.306696,28.055082",79.636,9,4102.443,
4/7/2016 07:25,"-26.305312,28.053762",70.376,9,4304.9171,
4/7/2016 07:25,"-26.303888,28.052408",74.08,10,4512.9755,
4/7/2016 07:25,"-26.302354,28.050940",77.784,10,4737.7165,
4/7/2016 07:25,"-26.300748,28.049386",90.748,10,4974.1206,
4/7/2016 07:26,"-26.298954,28.047694",88.896,9,5235.3526,
4/7/2016 07:26,"-26.297456,28.046262",57.412,9,5454.7228,
4/7/2016 07:26,"-26.296286,28.045144",66.672,9,5626.0316,
4/7/2016 07:26,"-26.294756,28.043716",88.896,9,5847.8617,
4/7/2016 07:26,"-26.292680,28.042304",100.008,9,6118.2344,
4/7/2016 07:26,"-26.290488,28.040958",101.86,8,6396.469,
4/7/2016 07:27,"-26.288658,28.038970",98.156,8,6680.5226,
4/7/2016 07:27,"-26.287772,28.037322",33.336,9,6872.0936,
4/7/2016 07:27,"-26.287528,28.036788",31.484,9,6931.8458,
4/7/2016 07:27,"-26.286920,28.035540",62.968,9,7073.4474,
4/7/2016 07:27,"-26.285758,28.034126",74.08,10,7264.6739,
4/7/2016 07:28,"-26.283898,28.033110",85.192,10,7494.9689,
4/7/2016 07:28,"-26.281806,28.033014",81.488,9,7727.7854,
