Time,LLC,Speed,Ranking,Mileage,Address
2016-07-10 09:41:21,"-25.346982,26.384860",0,9,9.6199,
2016-07-10 11:16:11,"-25.347000,26.384824",0,10,13.7548,
2016-07-10 11:16:22,"-25.346998,26.384818",0,10,14.3987,
2016-07-10 11:16:33,"-25.346982,26.384830",0,10,16.551,
2016-07-10 11:16:44,"-25.346974,26.384832",0,10,17.4616,
2016-07-10 11:16:56,"-25.346976,26.384824",0,10,18.2947,
2016-07-10 11:18:57,"-25.346978,26.384944",0,10,30.3556,
2016-07-10 11:39:38,"-25.486926,26.385753",0,2,15592.0675,
2016-07-10 12:04:50,"-25.346992,26.384948",5.556,12,31152.2206,
2016-07-10 12:04:59,"-25.347010,26.384904",0,12,31157.0744,
2016-07-10 12:05:09,"-25.347014,26.384902",0,12,31157.5585,
2016-07-10 12:05:20,"-25.347002,26.384896",0,12,31159.02,
2016-07-10 12:05:31,"-25.347010,26.384916",0,12,31161.2179,
2016-07-10 12:05:42,"-25.347020,26.384916",0,12,31162.3291,
2016-07-10 12:05:53,"-25.347024,26.384912",0,12,31162.922,
2016-07-10 12:05:59,"-25.347024,26.384904",0,12,31163.7276,
2016-07-10 12:06:09,"-25.347024,26.384902",0,12,31163.7276,
2016-07-10 12:07:38,"-25.346988,26.384936",0,12,31168.9903,
2016-07-10 12:09:24,"-25.346998,26.384890",0,12,31173.7447,
2016-07-10 12:09:29,"-25.347002,26.384886",0,12,31174.3451,
2016-07-10 12:09:40,"-25.347008,26.384876",0,12,31175.5534,
2016-07-10 12:09:51,"-25.347000,26.384872",0,12,31176.5308,
2016-07-10 12:09:59,"-25.347012,26.384882",0,12,31178.2023,
2016-07-10 12:10:09,"-25.347014,26.384892",0,12,31179.2292,
2016-07-10 12:10:20,"-25.347014,26.384924",0,12,31182.4458,
2016-07-10 12:10:31,"-25.347014,26.384956",0,12,31185.6624,
2016-07-10 12:10:42,"-25.347014,26.384952",0,12,31186.0652,
2016-07-10 12:10:53,"-25.347018,26.384956",0,12,31186.6656,
2016-07-10 12:10:59,"-25.347028,26.384960",0,12,31187.8475,
2016-07-10 12:11:09,"-25.347034,26.384954",0,12,31188.7431,
2016-07-10 12:11:20,"-25.347038,26.384946",0,12,31189.6586,
2016-07-10 12:17:58,"-25.346952,26.384900",0,12,31200.2799,
2016-07-10 12:17:59,"-25.346952,26.384900",0,12,31200.2799,
2016-07-10 12:18:09,"-25.346976,26.384956",3.704,12,31206.5088,
2016-07-10 12:18:19,"-25.347024,26.385162",5.556,12,31227.8867,
2016-07-10 12:18:30,"-25.347018,26.385444",7.408,12,31256.2328,
2016-07-10 12:18:41,"-25.346996,26.385712",7.408,12,31283.2752,
